iter	Passed	Remaining
0	2667	2665272
1	5330	2659891
2	7421	2466441
3	8064	2008044
4	10375	2064726
5	10807	1790440
6	12675	1798111
7	14516	1800067
8	16161	1779591
9	17600	1742480
10	19277	1733203
11	20235	1666060
12	21382	1623408
13	21879	1540907
14	23449	1539846
15	24803	1525425
16	26633	1540058
17	28479	1553692
18	30545	1577090
19	32409	1588067
20	34623	1614108
21	36750	1633707
22	38300	1626951
23	39906	1622857
24	41404	1614758
25	42850	1605244
26	44488	1603221
27	46657	1619697
28	48399	1620542
29	50138	1621131
30	52169	1630707
31	54814	1658147
32	56920	1667949
33	58809	1670875
34	60842	1677511
35	63233	1693254
36	64852	1687930
37	67275	1703138
38	69572	1714347
39	71446	1714726
40	73341	1715484
41	75630	1725100
42	78127	1738782
43	80417	1747244
44	82124	1742863
45	84187	1745968
46	86510	1754146
47	88050	1746341
48	90103	1748739
49	92280	1753324
50	94659	1761404
51	97285	1773584
52	99331	1774850
53	101518	1778449
54	103649	1780890
55	106399	1793587
56	108601	1796685
57	111077	1804058
58	113475	1809834
59	115979	1817013
60	118262	1820468
61	120459	1822428
62	122798	1826377
63	124823	1825545
64	126906	1825501
65	129523	1832957
66	132077	1839221
67	134177	1839019
68	136411	1840572
69	139017	1846948
70	142613	1866033
71	145601	1876642
72	147904	1878188
73	150182	1879306
74	152456	1880302
75	155321	1888386
76	157429	1887115
77	159635	1886975
78	162063	1889373
79	164698	1894035
80	167254	1897615
81	169763	1900524
82	171744	1897470
83	173821	1895480
84	176112	1895795
85	178339	1895374
86	180380	1892954
87	182236	1888633
88	184418	1887698
89	186342	1884129
90	188178	1879716
91	190335	1878531
92	192338	1875819
93	194329	1873007
94	196300	1870020
95	198583	1869992
96	200788	1869192
97	204086	1878428
98	207125	1885051
99	209734	1887613
100	212350	1890129
101	214633	1889617
102	217103	1890698
103	219252	1888947
104	221527	1888262
105	223759	1887177
106	226920	1893828
107	229557	1895975
108	231890	1895547
109	234155	1894528
110	236268	1892279
111	238340	1889699
112	240402	1887055
113	242845	1887380
114	244855	1884323
115	246794	1880743
116	248694	1876897
117	250706	1873924
118	252889	1872230
119	254570	1866847
120	256648	1864415
121	258630	1861292
122	260735	1859064
123	262984	1857861
124	264828	1853798
125	266619	1849405
126	268546	1845992
127	270340	1841695
128	272190	1837814
129	274244	1835326
130	275923	1830362
131	277713	1826175
132	279836	1824198
133	281859	1821569
134	284030	1819901
135	285771	1815491
136	287717	1812410
137	289295	1807048
138	291392	1804958
139	293470	1802747
140	295328	1799197
141	297110	1795218
142	298562	1789285
143	300409	1785766
144	302521	1783831
145	304457	1780868
146	306119	1776323
147	307939	1772734
148	309775	1769255
149	311569	1765560
150	313528	1762819
151	315476	1760028
152	317675	1758635
153	319505	1755207
154	321322	1751723
155	323271	1748980
156	325293	1746638
157	327345	1744463
158	329004	1740207
159	330826	1736838
160	332636	1733429
161	334510	1730369
162	336344	1727119
163	338228	1724138
164	340010	1720660
165	341782	1717150
166	344202	1716889
167	345863	1712847
168	347732	1709855
169	349543	1706593
170	350892	1701111
171	352352	1696207
172	354454	1694417
173	356304	1691424
174	358244	1688865
175	360114	1685992
176	361965	1683036
177	363972	1680815
178	365761	1677599
179	367617	1674703
180	369621	1672485
181	371512	1669765
182	373542	1667671
183	375432	1664960
184	377236	1661878
185	378924	1658301
186	380789	1655519
187	382719	1653020
188	384494	1649869
189	386542	1647889
190	388570	1645828
191	390416	1643002
192	392164	1639775
193	393859	1636344
194	395790	1633903
195	397694	1631360
196	399339	1627766
197	401128	1624772
198	402967	1621996
199	404963	1619854
200	407210	1618713
201	409066	1616013
202	411188	1614371
203	413324	1612774
204	415508	1611362
205	417655	1609797
206	419891	1608570
207	422022	1606930
208	424194	1605442
209	426268	1603582
210	428189	1601143
211	430031	1598418
212	431883	1595738
213	434038	1594178
214	436107	1592298
215	438098	1590135
216	439868	1587175
217	441823	1584888
218	443807	1582709
219	446416	1582747
220	449693	1585117
221	452556	1585985
222	454684	1584260
223	456863	1582705
224	459000	1581002
225	461594	1580858
226	464294	1581054
227	466985	1581196
228	469200	1579710
229	471750	1579339
230	474020	1578016
231	476257	1576575
232	478271	1574395
